"task","batch","WSI","ROI","left","top","width","height","widthMicrons","heightMicrons"
"doVTA","FDA-HTT-batch001","HTT-TILS-001-12B.ndpi","HTT-TILS-001-12B.ndpi_x55510.2190_y35722.2190",55510,35722,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-12B.ndpi","HTT-TILS-001-12B.ndpi_x70175.2190_y65596.2190",70175,65596,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-12B.ndpi","HTT-TILS-001-12B.ndpi_x51679.2190_y33184.2190",51679,33184,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-12B.ndpi","HTT-TILS-001-12B.ndpi_x53028.2190_y59682.2190",53028,59682,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-12B.ndpi","HTT-TILS-001-12B.ndpi_x47064.2190_y33922.2190",47064,33922,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-12B.ndpi","HTT-TILS-001-12B.ndpi_x50866.2190_y12808.2190",50866,12808,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-13B.ndpi","HTT-TILS-001-13B.ndpi_x39338.2190_y23008.2190",39338,23008,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-13B.ndpi","HTT-TILS-001-13B.ndpi_x40543.2190_y15059.2190",40543,15059,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-13B.ndpi","HTT-TILS-001-13B.ndpi_x43772.2190_y62378.2190",43772,62378,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-13B.ndpi","HTT-TILS-001-13B.ndpi_x12221.2190_y29065.2190",12221,29065,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-13B.ndpi","HTT-TILS-001-13B.ndpi_x12875.2190_y39286.2190",12875,39286,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-13B.ndpi","HTT-TILS-001-13B.ndpi_x10432.2190_y21942.2190",10432,21942,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-13B.ndpi","HTT-TILS-001-13B.ndpi_x8298.2190_y19567.2190",8298,19567,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-13B.ndpi","HTT-TILS-001-13B.ndpi_x43571.2190_y14715.2190",43571,14715,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-13B.ndpi","HTT-TILS-001-13B.ndpi_x39235.2190_y41591.2190",39235,41591,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-13B.ndpi","HTT-TILS-001-13B.ndpi_x8780.2190_y29891.2190",8780,29891,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-14B.ndpi","HTT-TILS-001-14B.ndpi_x8201.2190_y27311.2190",8201,27311,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-14B.ndpi","HTT-TILS-001-14B.ndpi_x22923.2190_y17476.2190",22923,17476,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-14B.ndpi","HTT-TILS-001-14B.ndpi_x49194.2190_y24329.2190",49194,24329,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-14B.ndpi","HTT-TILS-001-14B.ndpi_x10612.2190_y25979.2190",10612,25979,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-14B.ndpi","HTT-TILS-001-14B.ndpi_x17148.2190_y22489.2190",17148,22489,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-14B.ndpi","HTT-TILS-001-14B.ndpi_x13278.2190_y23694.2190",13278,23694,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-14B.ndpi","HTT-TILS-001-14B.ndpi_x15097.2190_y36475.2190",15097,36475,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-14B.ndpi","HTT-TILS-001-14B.ndpi_x43610.2190_y43747.2190",43610,43747,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-14B.ndpi","HTT-TILS-001-14B.ndpi_x23114.2190_y39939.2190",23114,39939,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-14B.ndpi","HTT-TILS-001-14B.ndpi_x33838.2190_y31880.2190",33838,31880,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-15B.ndpi","HTT-TILS-001-15B.ndpi_x40458.2190_y24422.2190",40458,24422,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-15B.ndpi","HTT-TILS-001-15B.ndpi_x9384.2190_y18162.2190",9384,18162,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-15B.ndpi","HTT-TILS-001-15B.ndpi_x39829.2190_y20385.2190",39829,20385,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-15B.ndpi","HTT-TILS-001-15B.ndpi_x12680.2190_y26903.2190",12680,26903,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-15B.ndpi","HTT-TILS-001-15B.ndpi_x13199.2190_y22570.2190",13199,22570,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-15B.ndpi","HTT-TILS-001-15B.ndpi_x10199.2190_y23570.2190",10199,23570,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-15B.ndpi","HTT-TILS-001-15B.ndpi_x37310.2190_y16385.2190",37310,16385,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-15B.ndpi","HTT-TILS-001-15B.ndpi_x37421.2190_y9126.2190",37421,9126,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-15B.ndpi","HTT-TILS-001-15B.ndpi_x39384.2190_y13792.2190",39384,13792,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-15B.ndpi","HTT-TILS-001-15B.ndpi_x36421.2190_y12459.2190",36421,12459,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-16B.ndpi","HTT-TILS-001-16B.ndpi_x43918.2190_y36413.2190",43918,36413,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-16B.ndpi","HTT-TILS-001-16B.ndpi_x36942.2190_y20751.2190",36942,20751,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-16B.ndpi","HTT-TILS-001-16B.ndpi_x57940.2190_y16168.2190",57940,16168,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-16B.ndpi","HTT-TILS-001-16B.ndpi_x39883.2190_y17741.2190",39883,17741,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-16B.ndpi","HTT-TILS-001-16B.ndpi_x54793.2190_y20272.2190",54793,20272,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-16B.ndpi","HTT-TILS-001-16B.ndpi_x13018.2190_y35167.2190",13018,35167,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-16B.ndpi","HTT-TILS-001-16B.ndpi_x46244.2190_y32309.2190",46244,32309,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-16B.ndpi","HTT-TILS-001-16B.ndpi_x49732.2190_y11791.2190",49732,11791,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-16B.ndpi","HTT-TILS-001-16B.ndpi_x46518.2190_y14458.2190",46518,14458,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-16B.ndpi","HTT-TILS-001-16B.ndpi_x54725.2190_y23828.2190",54725,23828,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-17B.ndpi","HTT-TILS-001-17B.ndpi_x36244.2190_y23152.2190",36244,23152,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-17B.ndpi","HTT-TILS-001-17B.ndpi_x14273.2190_y28378.2190",14273,28378,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-17B.ndpi","HTT-TILS-001-17B.ndpi_x11466.2190_y30218.2190",11466,30218,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-17B.ndpi","HTT-TILS-001-17B.ndpi_x20322.2190_y30605.2190",20322,30605,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-17B.ndpi","HTT-TILS-001-17B.ndpi_x16596.2190_y33218.2190",16596,33218,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-17B.ndpi","HTT-TILS-001-17B.ndpi_x16838.2190_y27604.2190",16838,27604,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-17B.ndpi","HTT-TILS-001-17B.ndpi_x14999.2190_y36557.2190",14999,36557,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-17B.ndpi","HTT-TILS-001-17B.ndpi_x11999.2190_y36122.2190",11999,36122,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-17B.ndpi","HTT-TILS-001-17B.ndpi_x19887.2190_y25862.2190",19887,25862,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-17B.ndpi","HTT-TILS-001-17B.ndpi_x10111.2190_y10376.2190",10111,10376,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-18B.ndpi","HTT-TILS-001-18B.ndpi_x20259.2190_y11374.2190",20259,11374,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-18B.ndpi","HTT-TILS-001-18B.ndpi_x13799.2190_y11332.2190",13799,11332,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-18B.ndpi","HTT-TILS-001-18B.ndpi_x24904.2190_y29276.2190",24904,29276,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-18B.ndpi","HTT-TILS-001-18B.ndpi_x43566.2190_y28305.2190",43566,28305,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-18B.ndpi","HTT-TILS-001-18B.ndpi_x41961.2190_y10192.2190",41961,10192,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-18B.ndpi","HTT-TILS-001-18B.ndpi_x23088.2190_y9348.2190",23088,9348,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-18B.ndpi","HTT-TILS-001-18B.ndpi_x39006.2190_y9263.2190",39006,9263,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-18B.ndpi","HTT-TILS-001-18B.ndpi_x46226.2190_y31514.2190",46226,31514,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-18B.ndpi","HTT-TILS-001-18B.ndpi_x40821.2190_y28601.2190",40821,28601,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-18B.ndpi","HTT-TILS-001-18B.ndpi_x37570.2190_y29276.2190",37570,29276,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-19B.ndpi","HTT-TILS-001-19B.ndpi_x13856.2190_y11108.2190",13856,11108,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-19B.ndpi","HTT-TILS-001-19B.ndpi_x19294.2190_y9536.2190",19294,9536,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-19B.ndpi","HTT-TILS-001-19B.ndpi_x9767.2190_y9625.2190",9767,9625,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-19B.ndpi","HTT-TILS-001-19B.ndpi_x17766.2190_y11985.2190",17766,11985,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-19B.ndpi","HTT-TILS-001-19B.ndpi_x22731.2190_y10547.2190",22731,10547,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-19B.ndpi","HTT-TILS-001-19B.ndpi_x32820.2190_y11603.2190",32820,11603,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-19B.ndpi","HTT-TILS-001-19B.ndpi_x28349.2190_y11468.2190",28349,11468,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-19B.ndpi","HTT-TILS-001-19B.ndpi_x21204.2190_y13041.2190",21204,13041,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-19B.ndpi","HTT-TILS-001-19B.ndpi_x16036.2190_y8794.2190",16036,8794,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-19B.ndpi","HTT-TILS-001-19B.ndpi_x12822.2190_y8322.2190",12822,8322,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-20B.ndpi","HTT-TILS-001-20B.ndpi_x29308.2190_y42000.2190",29308,42000,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-20B.ndpi","HTT-TILS-001-20B.ndpi_x63414.2190_y11210.2190",63414,11210,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-20B.ndpi","HTT-TILS-001-20B.ndpi_x39398.2190_y15888.2190",39398,15888,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-20B.ndpi","HTT-TILS-001-20B.ndpi_x38395.2190_y7600.2190",38395,7600,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-20B.ndpi","HTT-TILS-001-20B.ndpi_x62294.2190_y15178.2190",62294,15178,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-20B.ndpi","HTT-TILS-001-20B.ndpi_x22534.2190_y41895.2190",22534,41895,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-20B.ndpi","HTT-TILS-001-20B.ndpi_x22774.2190_y9334.2190",22774,9334,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch002","HTT-TILS-001-20B.ndpi","HTT-TILS-001-20B.ndpi_x14927.2190_y4285.2190",14927,4285,2190,2190,500.079921448633,500.079921448633
